# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 84, mean observations per image: 0
1 0.706229 0.035224 0.706229 -0.035224 10.000000 -2.000000 0.000000 1 Camera_L0_H00_0000.jpg

2 0.572864 0.028572 0.818135 -0.040805 9.396926 -2.000000 -3.420201 1 Camera_L0_H01_0001.jpg

3 0.422094 0.021052 0.905183 -0.045147 7.660444 -2.000000 -6.427876 1 Camera_L0_H02_0002.jpg

4 0.258498 0.012893 0.964727 -0.048116 5.000000 -2.000000 -8.660254 1 Camera_L0_H03_0003.jpg

5 0.087048 0.004342 0.994958 -0.049624 1.736482 -2.000000 -9.848078 1 Camera_L0_H04_0004.jpg

6 -0.087048 -0.004342 0.994958 -0.049624 -1.736482 -2.000000 -9.848078 1 Camera_L0_H05_0005.jpg

7 -0.258498 -0.012893 0.964727 -0.048116 -5.000000 -2.000000 -8.660254 1 Camera_L0_H06_0006.jpg

8 -0.422094 -0.021052 0.905183 -0.045147 -7.660444 -2.000000 -6.427876 1 Camera_L0_H07_0007.jpg

9 0.572864 0.028572 -0.818135 0.040805 -9.396926 -2.000000 -3.420202 1 Camera_L0_H08_0008.jpg

10 0.706229 0.035224 -0.706229 0.035224 -10.000000 -2.000000 0.000001 1 Camera_L0_H09_0009.jpg

11 0.818135 0.040805 -0.572864 0.028572 -9.396926 -2.000000 3.420202 1 Camera_L0_H10_0010.jpg

12 0.905183 0.045147 -0.422094 0.021052 -7.660445 -2.000000 6.427876 1 Camera_L0_H11_0011.jpg

13 0.964727 0.048116 -0.258498 0.012893 -4.999999 -2.000000 8.660254 1 Camera_L0_H12_0012.jpg

14 0.994958 0.049624 -0.087048 0.004342 -1.736481 -2.000000 9.848078 1 Camera_L0_H13_0013.jpg

15 0.994958 0.049624 0.087048 -0.004342 1.736481 -2.000000 9.848078 1 Camera_L0_H14_0014.jpg

16 0.964727 0.048116 0.258498 -0.012893 4.999999 -2.000000 8.660254 1 Camera_L0_H15_0015.jpg

17 0.905183 0.045147 0.422094 -0.021052 7.660443 -2.000000 6.427877 1 Camera_L0_H16_0016.jpg

18 0.818135 0.040805 0.572864 -0.028572 9.396926 -2.000000 3.420204 1 Camera_L0_H17_0017.jpg

